SKU,avg_daily_demand,std_daily_demand,lead_time_days,safety_stock_units,reorder_point_units
19969,17.0,0.0,7,0,119
1997,1.1666666666666667,0.408248290463863,7,2,10
19971,1.0,0.0,7,0,7
19977,2.2857142857142856,2.920183646189487,7,13,29
19988,1.25,0.5,7,2,11
19989,18.0,8.48528137423857,7,37,163
1999,1.631578947368421,0.9551338658818386,7,4,15
19995,1.9333333333333333,1.5796322658258455,7,7,21
19996,3.0,4.041451884327381,7,18,39
200,2.0,1.1547005383792515,7,5,19
2000,1.0,0.0,7,0,7
20000,2.8,3.4887574537976365,7,15,35
20001,1.1666666666666667,0.408248290463863,7,2,10
20002,1.0,0.0,7,0,7
20008,4.333333333333333,4.932882862316247,7,21,51
20024,1.0,0.0,7,0,7
20030,4.3076923076923075,2.37939876051461,7,10,40
20041,1.0,0.0,7,0,7
20049,1.75,1.2154310870109943,7,5,17
20050,12.0,0.0,7,0,84
20056,1.0,0.0,7,0,7
20064,11.0,0.0,7,0,77
20075,1.3333333333333333,0.5773502691896257,7,3,12
2008,4.086956521739131,3.132809083494107,7,14,43
20088,12.0,0.0,7,0,84
20090,1.5,0.7071067811865476,7,3,14
20091,3.75,5.5,7,24,50
20092,1.0,0.0,7,0,7
20096,2.1666666666666665,2.6178122882419563,7,11,26
20098,1.25,0.4522670168666454,7,2,11
201,2.0,0.0,7,0,14
20102,3.823529411764706,5.479909831804342,7,24,51
20108,1.3333333333333333,0.5773502691896257,7,3,12
20114,1.0,0.0,7,0,7
20118,4.5,4.949747468305833,7,22,54
20129,1.25,0.5,7,2,11
20130,5.5,3.5355339059327378,7,15,54
20132,4.5,4.415880433163924,7,19,50
2015,38.46666666666667,44.43600108122237,7,193,462
20152,2.6551724137931036,3.10846611311024,7,14,33
2016,1.0,0.0,7,0,7
20160,3.652173913043478,3.72471714181913,7,16,42
20162,2.5217391304347827,1.7286243931201823,7,8,26
20167,3.269230769230769,2.4258226201879194,7,11,34
2017,4.020833333333333,3.104489428219894,7,14,42
20174,1.4,0.5477225575051662,7,2,12
20177,3.2,2.6832815729997477,7,12,34
20178,1.0,0.0,7,0,7
20180,2.0714285714285716,1.0515798142890087,7,5,20
20181,1.5714285714285714,0.5345224838248488,7,2,13
20184,5.136363636363637,7.052830938171156,7,31,67
20186,1.0,0.0,7,0,7
20187,1.5,0.5477225575051661,7,2,12
20188,1.0,0.0,7,0,7
20189,1.4,0.5477225575051662,7,2,12
20192,6.5,7.7781745930520225,7,34,80
202,1.6666666666666667,1.4354811251305468,7,6,18
20200,1.5,0.7071067811865476,7,3,14
20204,2.675,2.5559132042564174,7,11,30
20216,15.948717948717949,12.993821847625401,7,57,169
20218,3.5,0.7071067811865476,7,3,28
2024,2.925925925925926,2.9990501820246345,7,13,33
20250,1.0,0.0,7,0,7
20251,2.1666666666666665,3.1574826950748234,7,14,29
20252,3.75,5.5,7,24,50
20253,1.9166666666666667,1.729862492345632,7,8,21
20254,2.5,2.5071326821120348,7,11,28
20255,7.682926829268292,6.604691606692336,7,29,83
20257,1.0,0.0,7,0,7
20259,1.6666666666666667,0.5773502691896258,7,3,15
2026,5.923076923076923,5.625035612422881,7,24,65
2027,1.0,0.0,7,0,7
20275,2.0,0.0,7,0,14
2028,1.0,0.0,7,0,7
2029,1.6153846153846154,1.192927878405448,7,5,16
2030,4.333333333333333,3.6026610535362145,7,16,46
20316,2.5,2.1213203435596424,7,9,26
20324,2.6666666666666665,3.2877840272018792,7,14,33
20339,3.75,5.5,7,24,50
2034,3.4651162790697674,2.3026779152533146,7,10,34
20343,2.736842105263158,1.967573385985836,7,9,28
2035,4.795454545454546,3.534412522839795,7,15,49
20357,21.24561403508772,26.297936299909264,7,114,263
2036,1.3333333333333333,0.8876253645985944,7,4,13
20360,2.0,0.0,7,0,14
2037,47.23684210526316,53.290349113860174,7,232,563
20374,1.0,0.0,7,0,7
20376,2.5,2.1213203435596424,7,9,26
20377,2.4285714285714284,2.225394561056747,7,10,27
20382,4.666666666666667,6.3508529610858835,7,28,61
20383,1.3,0.6749485577105528,7,3,12
2039,12.0,0.0,7,0,84
20395,5.481481481481482,7.459482196766384,7,32,70
20398,9.204081632653061,11.354110107204816,7,49,113
204,1.0,0.0,7,0,7
20400,3.392857142857143,3.5832871905482384,7,16,40
20403,1.0,0.0,7,0,7
20404,3.24,3.9924929555354263,7,17,40
20405,3.533333333333333,3.8750602516635775,7,17,42
20406,3.380952380952381,5.103686809319225,7,22,46
20407,2.227272727272727,2.5435599009453207,7,11,27
20409,2.8125,3.250000000000001,7,14,34
2041,2.56,4.350095784386056,7,19,37
20410,1.1666666666666667,0.38924947208076144,7,2,10
20413,2.0,0.0,7,0,14
20418,1.0,0.0,7,0,7
20419,6.921052631578948,5.488964747304818,7,24,72
2042,1.5454545454545454,0.9341987329938275,7,4,15
20420,1.8,1.3038404810405297,7,6,19
20422,4.035714285714286,7.015760790598514,7,31,59
20423,1.0,0.0,7,0,7
20424,8.0,0.0,7,0,56
20425,3.0,2.6666666666666665,7,12,33
20426,4.333333333333333,5.773502691896257,7,25,55
20427,2.3529411764705883,2.44798836983012,7,11,27
20428,2.0,0.0,7,0,14
20429,6.0,10.074720839804943,7,44,86
2043,2.5384615384615383,1.4759612252567949,7,6,24
20439,4.0,3.2333489534143163,7,14,42
20441,1.0,0.0,7,0,7
20446,9.333333333333334,7.550996216370997,7,33,98
20447,6.848484848484849,6.093650445962236,7,27,75
2045,3.9705882352941178,3.4155197849038315,7,15,43
20465,6.0,0.0,7,0,42
2047,2.5833333333333335,1.5376233980678478,7,7,25
20475,4.611111111111111,4.16980833939662,7,18,50
20477,1.0,0.0,7,0,7
20483,3.361111111111111,2.6742451835213803,7,12,36
20488,12.0,0.0,7,0,84
20492,1.3333333333333333,0.5773502691896257,7,3,12
2050,1.0,0.0,7,0,7
20504,2.4,2.6076809620810595,7,11,28
20506,1.1666666666666667,0.408248290463863,7,2,10
20507,2.1666666666666665,1.1690451944500122,7,5,20
20508,1.25,0.5,7,2,11
20509,3.967741935483871,4.490611472600303,7,20,48
20512,12.5,16.263455967290593,7,71,158
20513,1.75,1.164964745021435,7,5,17
20515,1.9,1.1972189997378648,7,5,18
20516,2.5,1.2909944487358054,7,6,24
20517,2.272727272727273,3.258555173413797,7,14,30
20519,2.3076923076923075,2.839736354681991,7,12,28
20520,1.6,1.3416407864998738,7,6,17
20532,1.6666666666666667,0.816496580927726,7,4,16
20533,21.120689655172413,25.530908399948444,7,111,259
20534,12.0,0.0,7,0,84
2054,3.3333333333333335,3.014251861692099,7,13,36
20549,1.4285714285714286,0.5345224838248488,7,2,12
20550,1.25,0.4629100498862757,7,2,11
20552,2.5217391304347827,2.728128982844391,7,12,30
20554,4.0,0.0,7,0,28
20555,6.5,7.7781745930520225,7,34,80
20557,6.285714285714286,5.06198512243872,7,22,66
20567,3.0,0.0,7,0,21
2058,1.0,0.0,7,0,7
20594,12.0,0.0,7,0,84
20598,1.8235294117647058,1.5904124511289146,7,7,20
20600,2.272727272727273,2.2401298663653,7,10,26
20602,1.0,0.0,7,0,7
20605,1.0,0.0,7,0,7
20607,1.0,0.0,7,0,7
20609,1.0,0.0,7,0,7
2062,5.6923076923076925,4.582740260545641,7,20,60
20626,24.0,16.97056274847714,7,74,242
20639,2.0,1.2247448713915892,7,5,19
2065,1.0,0.0,7,0,7
20650,2.5,1.0,7,4,22
20653,1.0,0.0,7,0,7
20654,1.0,0.0,7,0,7
20655,1.0,0.0,7,0,7
20659,3.5,3.5355339059327378,7,15,40
20661,2.0,0.0,7,0,14
20662,2.0,0.0,7,0,14
20668,1.0,0.0,7,0,7
20669,1.0,0.0,7,0,7
20674,2.2857142857142856,1.4880476182856899,7,6,22
20680,2.0,0.0,7,0,14
20682,2.0,1.1952286093343936,7,5,19
20685,1.0,0.0,7,0,7
20689,1.0,0.0,7,0,7
20693,11.875,16.241623151047595,7,71,154
20699,6.606060606060606,4.696670322815103,7,20,66
207,1.0,0.0,7,0,7
20702,2.0,0.0,7,0,14
20706,1.4705882352941178,0.8744746321952063,7,4,14
20707,1.0,0.0,7,0,7
2071,2.2,2.6832815729997477,7,12,27
20722,1.0,0.0,7,0,7
20724,1.0,0.0,7,0,7
20725,4.0,3.9370039370059056,7,17,45
20728,1.3333333333333333,0.5773502691896258,7,3,12
20729,4.157894736842105,3.635607059532549,7,16,45
20730,24.0,0.0,7,0,168
20731,5.288888888888889,5.852824579257058,7,25,62
20739,1.0,0.0,7,0,7
2074,1.0,0.0,7,0,7
20743,6.0,0.0,7,0,42
20744,1.4285714285714286,0.7867957924694432,7,3,13
20745,7.0,6.260990336999411,7,27,76
20748,2.2941176470588234,1.2631659571466125,7,5,21
2075,1.2,0.4472135954999579,7,2,10
20762,1.8666666666666667,1.3020130933435712,7,6,19
20767,2.5,2.3804761428476167,7,10,28
20768,1.0,0.0,7,0,7
20770,2.0714285714285716,1.4392458342578487,7,6,20
20771,1.0,0.0,7,0,7
20772,1.5,0.7071067811865476,7,3,14
20776,1.0,0.0,7,0,7
20778,1.5,0.5773502691896257,7,3,14
20781,2.740740740740741,3.2768722492480142,7,14,33
