ds,yhat,SKU
2016-03-01,52.154168589484755,4261
2016-03-02,49.57665925618517,4261
2016-03-03,50.172271050103134,4261
2016-03-04,50.034636860200884,4261
2016-03-05,50.06644141884711,4261
2016-03-06,50.059092009871044,4261
2016-03-07,50.06079031396947,4261
2016-03-08,50.0603978692409,4261
2016-03-09,50.06048855551147,4261
2016-03-10,50.060467599695095,4261
2016-03-11,50.06047244217276,4261
2016-03-12,50.06047132317126,4261
2016-03-13,50.06047158175053,4261
2016-03-14,50.06047152199793,4261
2016-03-15,50.06047153580558,4261
2016-03-16,50.060471532614905,4261
2016-03-17,50.06047153335221,4261
2016-03-18,50.06047153318183,4261
2016-03-19,50.060471533221204,4261
2016-03-20,50.06047153321211,4261
2016-03-21,50.06047153321421,4261
2016-03-22,50.06047153321373,4261
2016-03-23,50.06047153321384,4261
2016-03-24,50.060471533213814,4261
2016-03-25,50.06047153321382,4261
2016-03-26,50.06047153321382,4261
2016-03-27,50.06047153321382,4261
2016-03-28,50.06047153321382,4261
2016-03-29,50.06047153321382,4261
2016-03-30,50.06047153321382,4261
2016-03-31,50.06047153321382,4261
2016-04-01,50.06047153321382,4261
2016-04-02,50.06047153321382,4261
2016-04-03,50.06047153321382,4261
2016-04-04,50.06047153321382,4261
2016-04-05,50.06047153321382,4261
2016-04-06,50.06047153321382,4261
2016-04-07,50.06047153321382,4261
2016-04-08,50.06047153321382,4261
2016-04-09,50.06047153321382,4261
2016-04-10,50.06047153321382,4261
2016-04-11,50.06047153321382,4261
2016-04-12,50.06047153321382,4261
2016-04-13,50.06047153321382,4261
2016-04-14,50.06047153321382,4261
2016-04-15,50.06047153321382,4261
2016-04-16,50.06047153321382,4261
2016-04-17,50.06047153321382,4261
2016-04-18,50.06047153321382,4261
2016-04-19,50.06047153321382,4261
2016-04-20,50.06047153321382,4261
2016-04-21,50.06047153321382,4261
2016-04-22,50.06047153321382,4261
2016-04-23,50.06047153321382,4261
2016-04-24,50.06047153321382,4261
2016-04-25,50.06047153321382,4261
2016-04-26,50.06047153321382,4261
2016-04-27,50.06047153321382,4261
2016-04-28,50.06047153321382,4261
2016-04-29,50.06047153321382,4261
2016-04-30,50.06047153321382,4261
2016-05-01,50.06047153321382,4261
2016-05-02,50.06047153321382,4261
2016-05-03,50.06047153321382,4261
2016-05-04,50.06047153321382,4261
2016-05-05,50.06047153321382,4261
2016-05-06,50.06047153321382,4261
2016-05-07,50.06047153321382,4261
2016-05-08,50.06047153321382,4261
2016-05-09,50.06047153321382,4261
2016-05-10,50.06047153321382,4261
2016-05-11,50.06047153321382,4261
2016-05-12,50.06047153321382,4261
2016-05-13,50.06047153321382,4261
2016-05-14,50.06047153321382,4261
2016-05-15,50.06047153321382,4261
2016-05-16,50.06047153321382,4261
2016-05-17,50.06047153321382,4261
2016-05-18,50.06047153321382,4261
2016-05-19,50.06047153321382,4261
2016-05-20,50.06047153321382,4261
2016-05-21,50.06047153321382,4261
2016-05-22,50.06047153321382,4261
2016-05-23,50.06047153321382,4261
2016-05-24,50.06047153321382,4261
2016-05-25,50.06047153321382,4261
2016-05-26,50.06047153321382,4261
2016-05-27,50.06047153321382,4261
2016-05-28,50.06047153321382,4261
2016-05-29,50.06047153321382,4261
2016-03-01,31.578542489713115,3545
2016-03-02,29.5669093754504,3545
2016-03-03,29.79711434203204,3545
2016-03-04,29.770770409700084,3545
2016-03-05,29.773785126458876,3545
2016-03-06,29.773440131754924,3545
2016-03-07,29.773479611863763,3545
2016-03-08,29.77347509388428,3545
2016-03-09,29.773475610907642,3545
2016-03-10,29.773475551741114,3545
2016-03-11,29.773475558511947,3545
2016-03-12,29.773475557737115,3545
2016-03-13,29.773475557825783,3545
2016-03-14,29.773475557815637,3545
2016-03-15,29.7734755578168,3545
2016-03-16,29.773475557816667,3545
2016-03-17,29.77347555781668,3545
2016-03-18,29.77347555781668,3545
2016-03-19,29.77347555781668,3545
2016-03-20,29.77347555781668,3545
2016-03-21,29.77347555781668,3545
2016-03-22,29.77347555781668,3545
2016-03-23,29.77347555781668,3545
2016-03-24,29.77347555781668,3545
2016-03-25,29.77347555781668,3545
2016-03-26,29.77347555781668,3545
2016-03-27,29.77347555781668,3545
2016-03-28,29.77347555781668,3545
2016-03-29,29.77347555781668,3545
2016-03-30,29.77347555781668,3545
2016-03-31,29.77347555781668,3545
2016-04-01,29.77347555781668,3545
2016-04-02,29.77347555781668,3545
2016-04-03,29.77347555781668,3545
2016-04-04,29.77347555781668,3545
2016-04-05,29.77347555781668,3545
2016-04-06,29.77347555781668,3545
2016-04-07,29.77347555781668,3545
2016-04-08,29.77347555781668,3545
2016-04-09,29.77347555781668,3545
2016-04-10,29.77347555781668,3545
2016-04-11,29.77347555781668,3545
2016-04-12,29.77347555781668,3545
2016-04-13,29.77347555781668,3545
2016-04-14,29.77347555781668,3545
2016-04-15,29.77347555781668,3545
2016-04-16,29.77347555781668,3545
2016-04-17,29.77347555781668,3545
2016-04-18,29.77347555781668,3545
2016-04-19,29.77347555781668,3545
2016-04-20,29.77347555781668,3545
2016-04-21,29.77347555781668,3545
2016-04-22,29.77347555781668,3545
2016-04-23,29.77347555781668,3545
2016-04-24,29.77347555781668,3545
2016-04-25,29.77347555781668,3545
2016-04-26,29.77347555781668,3545
2016-04-27,29.77347555781668,3545
2016-04-28,29.77347555781668,3545
2016-04-29,29.77347555781668,3545
2016-04-30,29.77347555781668,3545
2016-05-01,29.77347555781668,3545
2016-05-02,29.77347555781668,3545
2016-05-03,29.77347555781668,3545
