SKU,Description,total_qty,total_revenue,avg_price,n_transactions,annual_demand_units,unit_cost_est,order_cost_S,holding_cost_H,EOQ_units
1385,Makers Mark,3122,84609.78,27.10904761904762,1344,18992.166666666664,26.99,200.0,5.398,1186
4262,Capt Morgan Spiced Rum,5503,83571.97,15.281115311909263,1587,33476.58333333333,13.99,200.0,2.798,2188
3893,Zhenka 80 Proof,8240,82317.6,9.99,1750,50126.666666666664,9.99,200.0,1.9980000000000002,3168
3423,Beefeater,3048,82265.51999999999,26.99,1237,18542.0,26.99,200.0,5.398,1172
3857,Grey Goose Vodka,1465,82120.35,56.9368085106383,752,8912.083333333332,49.99,200.0,9.998000000000001,597
3348,Bombay Sapphire Gin,2212,79231.88,36.21875816993464,1071,13456.333333333332,29.99,200.0,5.998,947
3826,Skyy Vodka,3371,78986.29,23.76136752136752,1404,20506.916666666664,19.99,200.0,3.9979999999999998,1432
3913,Svedka Vodka,4335,78859.65,18.29551816958277,1486,26371.25,17.99,200.0,3.598,1712
2127,Canadian Ltd,7499,78664.51,10.490000000000002,1683,45618.916666666664,10.49,200.0,2.0980000000000003,2949
1737,Makers Mark,1648,78147.52,47.60538461538462,845,10025.333333333332,51.99,200.0,10.398000000000001,621
5365,Kahlua,3919,77932.81,19.889382716049383,1620,23840.583333333332,18.99,200.0,3.798,1585
14006,Apothic Winemakers Red Blend,7511,75034.89,9.99,1533,45691.916666666664,9.99,200.0,1.9980000000000002,3024
2432,Crown Royal,2994,74896.06,25.16357142857143,1400,18213.5,22.99,200.0,4.598,1259
3505,Tito's Handmade Vodka,3415,72263.84999999999,21.222824427480916,1310,20774.583333333332,18.99,200.0,3.798,1479
5103,Fireball Cinnamon Whisky,2576,71659.23999999999,28.01359346642468,1102,15670.666666666666,23.99,200.0,4.798,1143
19748,Clos du Bois Chard,4692,71085.08,15.271840591618735,1217,28543.0,13.99,200.0,2.798,2020
3522,Platinum 7X Distilled Vodka,5394,70092.06,12.999196811771919,1631,32813.5,12.99,200.0,2.5980000000000003,2248
2753,Johnnie Walker Black Label,1019,69525.81,68.24047080979284,531,6198.916666666666,59.99,200.0,11.998000000000001,455
42188,Moet & Chandon Nectar Imp Rs,1278,69002.22,53.693703703703704,135,7774.5,52.99,200.0,10.598,542
8178,Bulleit Bourbon,2488,65113.119999999995,26.237373447946513,1047,15135.333333333332,25.99,200.0,5.198,1079
4243,Bacardi Superior Rum,2839,65015.61,23.364880153403643,1043,17270.583333333332,19.99,200.0,3.9979999999999998,1315
38546,Mark West Pnt Nr Sonoma,6511,64836.89,10.018429282160625,1407,39608.58333333333,9.99,200.0,1.9980000000000002,2816
5734,Malibu Rum,2918,64166.82,21.99,1131,17751.166666666664,21.99,200.0,4.398,1271
2443,Seagrams VO,3050,63992.5,20.97793242156074,1243,18554.166666666664,16.99,200.0,3.3979999999999997,1478
5445,Jagermeister Liqueur,3962,63904.38,16.151498708010337,1548,24102.166666666664,15.99,200.0,3.1980000000000004,1736
126,Grey Goose Vodka,1968,63796.32,32.63681440443214,722,11972.0,32.99,200.0,6.598000000000001,852
8000,The Glenlivet 12 Yr Single,913,62074.869999999995,67.99,556,5554.083333333333,67.99,200.0,13.597999999999999,404
5342,Grand Marnier,2136,61546.64,28.834875346260386,1083,12994.0,28.99,200.0,5.798,947
3625,Absolut 80 Proof,3370,60626.299999999996,17.99,1364,20500.833333333332,16.99,200.0,3.3979999999999997,1553
1346,Knob Creek Bourbon,1994,60007.06,30.107535545023694,1055,12130.166666666666,29.99,200.0,5.998,899
36378,MezzaCorona Pnt Grigio,5371,59027.29,10.99,1400,32673.583333333332,9.97,200.0,1.9940000000000002,2560
6983,J Lohr Seven Oaks Cab Svgn,3689,58963.11,16.024846884899684,947,22441.416666666664,11.99,200.0,2.398,1935
5299,Southern Comfort,2493,58281.07,23.415434583714546,1093,15165.75,21.99,200.0,4.398,1174
3746,Gordons Vodka 80 Proof,4413,57324.87,12.989999999999998,1397,26845.75,12.99,200.0,2.5980000000000003,2033
811,Jack Daniels No 7 Black,1789,55210.11,30.976089644513134,647,10883.083333333332,29.99,200.0,5.998,852
6967,Santa Margherita Pnt Grigio,2644,55113.56,20.787829036635006,737,16084.333333333332,19.99,200.0,3.9979999999999998,1269
6682,R M Woodbridge Chard Cal,4431,55041.69,13.130625,1216,26955.25,8.99,200.0,1.798,2449
2752,Johnnie Walker Black Label,1542,54342.58,35.30830238726791,754,9380.5,38.99,200.0,7.798000000000001,694
2015,Jack Daniels Tennessee Honey,2308,53722.92,23.364879227053137,1035,14040.333333333332,22.99,200.0,4.598,1105
