SKU,croston_daily_forecast
100,0.2633739306689198
1003,0.42993079584775085
10030,0.5409438934354278
10057,0.17408906882591094
10121,0.5213675213675213
10122,0.2894736842105263
10124,0.4566147054766175
10127,0.1276910088644998
1026,0.3860208509374643
10274,0.20868113522537562
1030,0.7850206077556201
1032,0.034482758620689655
10336,0.2513966480446927
1034,0.4127399956645179
10359,0.23349056603773577
10370,0.10344827586206896
10374,0.3493202680583061
10380,0.13385826771653545
10398,0.043478260869565216
10399,0.06666666666666667
